"qid","qmajor","qtype","qcontent","qanswer","qimg"
"1","politics","1","全面从严治党的治本之策是加强党的
\A.思想建设
\B.组织建设
\C.作风建设
\D.纪律建设","D",""
"2","politics","2","全面准确理解和贯彻“一国两制”方针政策，必须准确把握“一国两制”的含义。 “ 一国两制” 是一个完整的概念，“一国”与“两制”的关系是（ ）
\A.“一国”是实行“两制”的前提
\B.“两制”是实行“一国”的基础
\C.“两制”从属和派生于“一国” \D.“两制”统一于“一国”之内","A,C,D",""
"3","politics","2","日本众议院前议长河野洋平在《人民日报》发表的《符合国情的制度给中国人民带来好生活》
的文章中说：“关于新中国成立 70 年发展变化的原因，不同的人有不同的解读。我认为，中
国共产党的坚强领导发挥了不可替代的重要作用。中国共产党对中国发展作出了科学的顶层
设计。”“在中国共产党制定的目标的指引下，十几亿中国人怀着‘明天要比今天过得更好’的
愿望，辛勤劳作，刻苦钻研，艰苦奋斗，朝着共同的目标努力，克服了一个又一个困难，推
动国家面貌发生了巨大变化。”这是一段真知灼见。中国共产党的领导是中国特色社会主义
制度的最大优势，这是因为
\A.中国特色社会主义制度是党领导人民创建的
\B.党的领导是充分发挥中国特色社会主义制度优势的根本保障
\C.中国特色社会主义的制度优势引领和锻造了党的优势
\D.党的自身优势是中国特色社会主义制度优势的主要来源","A,B,D",
"4","politics","2","党是最高政治领导力量，这是
\A.由国家性质所决定的
\B.由国家宪法所确立的
\C.被中国革命、建设、改革伟大实践所证明的
\D.推进伟大事业的根本保证","A,B,C,D",
"5","politics","1","新时代党的建设的总要求中，作为新时代党的建设的统领的是
\A.调动全党积极性、主动性、创造性
\B.党的政治建设
\C.加强党的长期执政能力建设、先进性和纯洁性建设
\D.坚定理想信念宗旨","B",
"6","politics","1","新时代党的建设的总要求中，作为新时代党的建设的主线的是
\A.调动全党积极性、主动性、创造性
\B.党的政治建设
\C.加强党的长期执政能力建设、先进性和纯洁性建设
\D.坚定理想信念宗旨","C",
"7","politics","1","全面依法治国是“四个全面”战略布局的重要内容之一。推进全面依法治国，根本目的是
\A.保证法律面前人人平等
\B.加强党对国家的全面领导
\C.坚持依法治国和以德治国相结合
\D.依法保障人民权益","A",
"8","politics","2","中国共产党诞生于国家内忧外患、民族危难之时，对国家安全的重要性有着刻骨铭心的认识。
党的十八大以来，以习近平同志为核心的党中央创新国家安全理念，统揽国家安全全局，创
造性提出总体国家安全观。提出总体国家安全观是因为（ ）
\A.国家安全是安邦定国的重要基石，是人民幸福安康的基本要求
\B.统筹发展和安全是我们党治国理政的一个重大原则
\C.新时代我国面临复杂多变的安全和发展环境
\D.安全是发展的引领，发展是安全的核心","A,B,C",
"9","politics","0","改善民生是国家繁荣发展的必由之路。","错",
"10","politics","0","党的领导决定了中国式现代化的根本性质。","对",
"11","biologic","1","现代类人猿和人类的共同祖先是 \A.森林古猿\
B.狒狒
\C.猕猴\
D.长臂猿","A",
"12","biologic","1","下列生物没有细胞结构的是\
A.新型冠状病毒
\B.酵母菌\
C.鲫鱼\
D.玉米","A",
"13","biologic","1","“人间四月芳菲尽，山寺桃花始盛开。”这体现了哪种非生物因素对生物的影响\
A.阳光\B.水分\
C.温度\D.空气
","C",
"14","biologic","1","下列四个选项中，正确表示食物链的是\A.阳光→草→昆虫→青蛙→蛇\B.昆虫→青蛙→蛇\
C.草→昆虫→青蛙→蛇
\
D.蛇→青蛙→昆虫→草","A",
"15","geography","1","非洲最大的沙漠是什么？
\A. 撒哈拉沙漠
\B. 卡拉哈里沙漠
\C. 纳米布沙漠
\D. 维多利亚沙漠","A",
"16","geography","1","世界上最大的淡水湖群位于哪个国家？
\A. 加拿大
\B. 美国
\C. 俄罗斯
\D. 巴西","A",
"17","geography","1","哪个国家拥有最长的海岸线？
\A. 加拿大
\B. 俄罗斯
\C. 澳大利亚
\D. 中国","A",
"18","geography","1","亚马逊河流经哪个国家？
\A. 巴西
\B. 阿根廷
\C. 哥伦比亚
\D. 秘鲁","A",
"19","geography","1","世界上最高的山峰是什么？
\A.乞力马扎罗山 
\B.珠穆朗玛峰 
\C. 阿空加瓜山
\D. 惠特尼山","B",
"20","geography","1","世界上最大的高原是什么？
\A. 青藏高原
\B. 巴西高原
\C. 墨西哥高原
\D. 东非高原","B",
"21","geography","1","哪个国家是世界上最大的橡胶生产国？
\A. 泰国
\B. 印度尼西亚
\C. 马来西亚
\D. 越南","B",
"22","geography","2","以下哪些是地球上的极端气候区？
\A. 热带雨林
\B. 沙漠
\C. 寒带
\D. 温带","A,B,C",
"23","geography","2","哪些因素可以影响一个地区的气候？
\A. 纬度
\B. 海拔
\C. 地形
\D. 人类活动","A,B,C,D",
"24","geography","2","以下哪些是世界著名的河流？
\A. 尼罗河
\B. 亚马逊河
\C. 密西西比河
\D. 长江","A,B,C,D",
"25","geography","2","以下哪些是世界著名的湖泊？
\A. 苏必利尔湖
\B. 贝加尔湖
\C. 维多利亚湖
\D. 里海","A,B,C,D",
"26","geography","2","以下哪些是世界著名的地理现象？
\A. 极光
\B. 潮汐
\C. 热带风暴
\D. 火山喷发","A,B,C,D",
"27","geography","2","以下哪些是世界著名的文化遗址？
\A. 埃及金字塔
\B. 中国长城
\C. 罗马斗兽场
\D. 马丘比丘","A,B,C,D",
"28","geography","2","世界上最深的湖泊是贝加尔湖，它位于俄罗斯境内。","对",
"29","geography","2","地壳中含量最多的元素是氧，其次是硅。","对",
"30","geography","2","地球的自转导致了昼夜更替，而公转导致了季节变化。","对",
